date,cases_daily,deaths_daily,cases_ma7,deaths_ma7,cCFR,mCFR,BrtaCFR_mean_raw,BrtaCFR_lower_raw,BrtaCFR_upper_raw,BrtaCFR_mean_smooth,BrtaCFR_lower_smooth,BrtaCFR_upper_smooth
2021-09-06,9145.0,33.0,15884.285714285714,56.142857142857146,0.010368132938863005,0.012494443539557415,0.006840389151828862,0.0032153796114963947,0.012623717725210091,0.005978377051978643,0.0027640154078341582,0.011348428950707699
2021-09-07,10477.0,49.0,14977.285714285714,56.42857142857143,0.010330655131732196,0.012356442879600957,0.006756900324000761,0.0033307809577023248,0.01242789665044868,0.0061292385813461175,0.0028293212798590124,0.011648367888169774
2021-09-08,12118.0,89.0,13698.42857142857,57.42857142857143,0.010308082222628377,0.012254580578556103,0.00587939352482121,0.0029152476760857856,0.01039578121833693,0.006281243961754353,0.002894924275659292,0.011951104537772792
2021-09-09,10729.0,78.0,12737.42857142857,59.857142857142854,0.010287884796510187,0.012150331106515588,0.005035965367298994,0.0023942346845860388,0.009146752658288555,0.006433944803558992,0.0029606309447203975,0.012255747711021186
2021-09-10,9178.0,87.0,11641.42857142857,63.285714285714285,0.010283311706955806,0.012058541357763757,0.004469457019533178,0.002061189542465147,0.00795291380223282,0.006586871416394709,0.003026238828925289,0.012561363401330832
2021-09-11,9072.0,52.0,10727.57142857143,61.285714285714285,0.010258012732140998,0.011947611780562915,0.004383053632598658,0.002005677108362844,0.008646820314162595,0.006739534708904593,0.003091537260165903,0.012866978622330324
2021-09-12,7454.0,55.0,9739.0,63.285714285714285,0.010244921758732916,0.01184525497558838,0.004239364988993687,0.001939948374188387,0.008408759988853858,0.006891428464100019,0.0031563083266834308,0.013171585976646971
2021-09-13,4898.0,49.0,9132.285714285714,65.57142857142857,0.01024420441706062,0.011745232236244936,0.00420769926319584,0.0018515306732794074,0.00840860243179163,0.0070420319816032195,0.0032203280047737584,0.013474148936536744
2021-09-14,5875.0,48.0,8474.857142857143,65.42857142857143,0.010236821168296757,0.011651170923349878,0.004283649243074743,0.0019709235816825926,0.008173783290651679,0.007190813071597232,0.0032833674495427356,0.013773607805378833
2021-09-15,6686.0,65.0,7698.857142857143,62.0,0.010234743087369184,0.01157517406557678,0.004061392935301659,0.0018038984955009551,0.007748343955464721,0.00733723137883359,0.0033451944354151906,0.014068886316651059
2021-09-16,6020.0,71.0,7026.142857142857,61.0,0.010240387535229519,0.011509181883416432,0.003951961004167441,0.0016953902256680276,0.007591751431758249,0.0074807420086512675,0.0034055749341497265,0.014358898814767512
2021-09-17,5112.0,67.0,6445.285714285715,58.142857142857146,0.010249170480806409,0.01144616536632998,0.004095144572541155,0.001776040129250088,0.008030453612694399,0.007620799420769545,0.003464274815248871,0.014642557950338444
2021-09-18,5008.0,59.0,5864.714285714285,59.142857142857146,0.010253755955109635,0.01138333340235199,0.0042602113191861,0.001968160360462297,0.008361785941673864,0.0077568615507620335,0.0035210616509417756,0.014918782811249618
2021-09-19,3567.0,48.0,5309.428571428572,58.142857142857146,0.010260569806346953,0.011318671676466309,0.0047500103340869905,0.0019950171347677204,0.009399951766461917,0.007888394113725534,0.003575706605413774,0.015186507400693407
2021-09-20,2405.0,29.0,4953.285714285715,55.285714285714285,0.010263144573182897,0.011247034608993532,0.005445887399153109,0.00223091713040861,0.011098274631244678,0.008014875039848709,0.0036279863857213482,0.01544468936414994
2021-09-21,2004.0,43.0,4400.285714285715,54.57142857142857,0.010276488457985426,0.011189979495270307,0.006302689859060763,0.002602492877178922,0.01285389397385902,0.008135798987474366,0.0036776852299154963,0.01569231885952677
2021-09-22,2845.0,43.0,3851.5714285714284,51.42857142857143,0.010284661667351558,0.011138099383231013,0.006745062816866889,0.003027972933529188,0.01332361710941771,0.0082506818759396,0.003724596906349497,0.01592842745841667
2021-09-23,3457.0,102.0,3485.4285714285716,55.857142857142854,0.01032403887352356,0.011128772245925738,0.008190374360683582,0.003588885479333787,0.0161155885868654,0.008359065378058134,0.0037685266970102567,0.01615209696189218
2021-09-24,2477.0,0.0,3109.0,46.285714285714285,0.010308906218008423,0.011058784688068025,0.009870812642427848,0.004432008289492367,0.01875861090639035,0.008460521310652957,0.0038092933370199415,0.0163624680115621
2021-09-25,2488.0,32.0,2749.0,42.42857142857143,0.01031265916877119,0.011013634786098944,0.013142780078960574,0.005973303411076668,0.025677032713923933,0.008554655861108646,0.0038467308822316953,0.016558748375871492
2021-09-26,2288.0,29.0,2566.285714285714,39.714285714285715,0.010315848357855257,0.010970732658923454,0.015634545904339124,0.006974665364574949,0.029354096050745883,0.00864111358852742,0.003880690477106305,0.01674022079289998
2021-09-27,1386.0,29.0,2420.714285714286,39.714285714285715,0.010324516821338867,0.010931765464533972,0.017569361840460884,0.007688426274157467,0.034147889948707474,0.008719581139753406,0.0039110419958113,0.01690625025422718
2021-09-28,1570.0,40.0,2358.714285714286,39.285714285714285,0.01033853077525727,0.010903371555196965,0.017581839141518275,0.008122488102898373,0.033089751258672036,0.008789790623268682,0.003937675530726389,0.017056290619774407
2021-09-29,2005.0,54.0,2238.714285714286,40.857142857142854,0.010358106299293672,0.010887073913682262,0.017256758593506966,0.007971920395631138,0.033883902784959445,0.008851522587730977,0.0039605027042543635,0.017189890460838627
2021-09-30,1673.0,43.0,1983.857142857143,32.42857142857143,0.010373195212154414,0.010867131044472452,0.017659677828252934,0.00889355994784485,0.03214327615062318,0.008904608556664752,0.0039794577820001014,0.017306698037709393
2021-10-01,1510.0,35.0,1845.7142857142858,37.42857142857143,0.010384550785815043,0.010845263254938398,0.01847274686533779,0.008997580103258523,0.03443128370221356,0.008948933076460922,0.003994498567957329,0.017406465329161205
2021-10-02,1264.0,33.0,1670.857142857143,37.57142857142857,0.010396213327762397,0.010825006172772492,0.019283161025763336,0.008979389553417825,0.03776761862665075,0.008984435241293482,0.004005607065289853,0.01748905104356648
2021-10-03,963.0,14.0,1481.5714285714287,35.42857142857143,0.01039855253087162,0.010795857781352084,0.02028866441576182,0.009224866414605374,0.03934939149619333,0.009011109665712638,0.004012789889559354,0.01755442255516653
2021-10-04,732.0,26.0,1388.142857142857,35.0,0.010409332521191222,0.010776603026895438,0.02116655199868962,0.009582318933142498,0.04079230729039344,0.009029006883398468,0.004016078424776633,0.017602656723929796
2021-10-05,897.0,33.0,1292.0,34.0,0.01042319740032367,0.010763997027307572,0.019352639959155458,0.008194311303372054,0.03852763923428108,0.009038233158717929,0.0040155287163731734,0.01763393957315367
2021-10-06,1077.0,30.0,1159.4285714285713,30.571428571428573,0.010434190932987303,0.010751803357381927,0.01720946706742,0.007166411349190655,0.03466855651469366,0.009038949706173286,0.00401122109903619,0.01764856481524658
2021-10-07,990.0,37.0,1061.857142857143,29.714285714285715,0.010449799004062055,0.010745890080140463,0.015299321075862399,0.006474677598852892,0.03001432074436002,0.009031371321408202,0.004003259561251754,0.017646931232664604
2021-10-08,867.0,46.0,970.0,31.285714285714285,0.010471406310686427,0.010747277943778418,0.01351998902787368,0.0059163035400404355,0.026728675852501535,0.009015764435991176,0.003991770852284574,0.01762953893747329
2021-10-09,785.0,25.0,901.5714285714286,30.142857142857142,0.01048121688991945,0.010737828753483674,0.012166728700455874,0.004858781100366127,0.023952101351283932,0.008992444616569348,0.0039769033411178566,0.017596984549159877
2021-10-10,579.0,14.0,846.7142857142857,30.142857142857142,0.010485852486189136,0.010723487150900957,0.01118105250355225,0.005178003085909634,0.022169151257936972,0.00896177353702646,0.003958825640512548,0.017549955345843134
2021-10-11,418.0,18.0,801.8571428571429,29.0,0.010493809125915191,0.01071314024782298,0.009916879390576882,0.004325773022795748,0.01976752502473568,0.008924155459843241,0.003937725012756466,0.017489222458640666
2021-10-12,544.0,27.0,751.4285714285714,28.142857142857142,0.01050624615201287,0.010709650509783087,0.009384898538670926,0.003697735809484368,0.019398244468699023,0.00888003326981228,0.003913805576799496,0.017415633192399024
2021-10-13,714.0,34.0,699.5714285714286,28.714285714285715,0.010521718414992456,0.010711688427557821,0.008367864269113413,0.0035160967105151886,0.016825759181703738,0.008829884109483115,0.003887286339256894,0.017330102568039126
2021-10-14,619.0,31.0,646.5714285714286,27.857142857142858,0.01053601102455134,0.010713189822043603,0.007715027799703935,0.0033056721980839502,0.015082801047801206,0.008774214671102188,0.003858399074162198,0.017233604192217762
2021-10-15,534.0,27.0,599.0,25.142857142857142,0.01054848258345047,0.010713476085189617,0.007468920702778131,0.0033343081644975035,0.01419660583334183,0.0087135562042806,0.0038273860783261506,0.017127160568687773
2021-10-16,506.0,14.0,559.1428571428571,23.571428571428573,0.010553535626932632,0.01070714568377586,0.007224734557741392,0.002936057456776475,0.014539003937954195,0.008648459302103749,0.003794497830679219,0.01701183297252638
